target;aX;aY;aZ;gX;gY;gZ
0;-1.078;-0.504;-1.312;133.972;-27.466;115.479
0;-0.959;-0.485;-1.352;91.919;-39.978;137.146
0;-0.697;-0.303;-1.385;40.771;-45.654;131.592
0;-0.709;-0.475;-1.26;7.996;-50.598;98.206
0;-0.749;-0.461;-1.149;-9.583;-40.527;67.871
0;-0.671;-0.567;-0.951;-23.315;-18.738;44.983
0;-0.525;-0.716;-0.79;-36.987;4.089;31.372
0;-0.413;-0.784;-0.623;-54.016;19.104;28.625
0;-0.343;-0.736;-0.43;-73.181;27.588;26.062
0;-0.317;-0.754;-0.211;-78.491;32.471;23.071
0;-0.29;-0.783;-0.182;-71.594;36.621;23.743
0;-0.303;-0.826;-0.168;-64.819;27.222;27.893
0;-0.317;-0.898;-0.166;-58.228;9.949;32.532
0;-0.345;-0.912;-0.248;-55.054;-6.348;36.743
0;-0.421;-0.825;-0.299;-58.167;-24.78;34.18
0;-0.538;-0.757;-0.357;-68.726;-39.856;28.992
0;-0.589;-0.737;-0.413;-87.891;-53.162;23.437
0;-0.675;-0.755;-0.375;-106.75;-64.941;19.409
0;-0.664;-0.747;-0.424;-118.408;-65.002;19.226
0;-0.582;-0.716;-0.464;-129.272;-60.303;19.47
0;-0.501;-0.761;-0.457;-145.569;-55.908;15.625
0;-0.401;-0.76;-0.453;-160.522;-53.955;10.132
0;-0.299;-0.726;-0.409;-173.95;-55.115;1.221
0;-0.274;-0.718;-0.204;-183.411;-60.791;-11.658
0;-0.354;-0.753;-0.033;-178.101;-55.176;-19.409
0;-0.312;-0.417;-0.005;-164.978;-38.147;-10.559
0;-0.324;-0.127;0.052;-158.752;-31.372;3.235
0;-0.505;-0.218;0.021;-167.664;-35.706;7.385
0;-0.646;-0.201;-0.027;-176.331;-47.974;22.644
0;-0.626;-0.136;0.027;-192.322;-73.486;43.64
0;-0.666;-0.069;0.35;-213.745;-95.642;58.228
0;-0.582;-0.144;0.767;-216.98;-78.857;55.42
0;-0.221;-0.305;0.461;-215.393;-20.691;36.621
0;-0.057;-0.285;0.347;-217.834;-0.671;19.104
0;-0.03;-0.235;0.551;-221.191;-9.094;-7.141
0;-0.223;-0.25;0.834;-215.515;-8.972;-40.1
0;-0.573;-0.28;1.101;-203.369;9.033;-43.762
0;-0.341;-0.007;0.976;-197.998;60.73;-11.414
0;-0.093;0.261;0.996;-193.909;99.365;18.799
0;-0.377;0.262;0.946;-199.707;112.854;36.743
0;-0.382;0.136;1.195;-218.018;84.106;54.993
0;-0.118;0.186;1.361;-230.774;42.236;76.782
0;0.14;0.229;1.643;-252.625;13.733;95.459
0;0.269;0.107;1.902;-263.55;-9.766;94.543
0;0.314;-0.064;2.119;-245.117;-19.531;77.576
0;0.281;-0.117;2.162;-188.11;-14.465;53.04
0;0.229;-0.262;2.047;-119.385;3.052;29.114
0;0.276;-0.274;1.81;-61.401;12.817;10.01
0;0.271;-0.203;1.495;-23.376;9.521;-3.113
0;0.199;-0.164;1.37;-7.996;-7.446;-10.01
0;0.069;0.062;1.189;-6.897;-14.465;-10.62
0;-0.038;0.195;0.865;-31.189;2.258;0.549
0;0.026;0.272;1.018;-73.792;20.081;25.513
0;0.14;0.11;1.227;-107.422;52.734;41.992
0;0.237;-0.073;1.312;-123.474;89.172;39.734
0;0.321;-0.357;1.611;-132.446;88.745;40.039
0;0.388;-0.302;2.123;-120.178;52.49;44.006
0;0.346;-0.398;1.983;-87.219;41.992;36.072
0;0.278;-0.262;1.947;-65.491;10.437;25.635
0;0.119;-0.318;1.867;-32.227;-16.235;13.306
0;0.157;-0.32;1.674;7.751;-4.456;2.93
0;0.128;-0.328;1.392;29.419;-1.099;-6.042
0;0.085;-0.348;1.269;36.865;-1.221;-11.475
0;-0.002;-0.303;1.116;40.649;1.892;-13.306
0;-0.054;-0.253;0.983;38.391;10.742;-17.761
0;-0.18;-0.226;0.821;25.94;19.958;-18.86
0;-0.274;-0.29;0.619;14.587;17.151;-15.381
0;-0.305;-0.389;0.771;2.747;0.305;-9.888
0;-0.292;-0.38;0.82;-10.681;-1.709;-5.737
0;-0.286;-0.39;0.89;-16.663;4.456;-5.371
0;0.39;-0.255;1.98;-162.659;-17.944;67.81
0;0.294;-0.305;1.964;-138.123;-34.302;46.265
0;0.359;-0.337;1.776;-98.511;-23.743;31.128
0;0.357;-0.456;1.48;-62.744;-4.517;22.461
0;0.809;-0.268;1.306;-39.673;10.01;18.311
0;0.397;-0.271;0.743;-42.053;26.001;-3.052
0;0.221;-0.075;1.475;-63.66;-48.645;-15.32
0;-0.18;-0.137;1.514;-93.506;-52.063;21.301
0;-0.113;-0.479;1.632;-117.31;-30.09;41.26
0;-0.036;-1.127;1.758;-111.877;-11.414;41.382
0;-0.378;-2.114;4;-139.282;-11.292;41.26
0;0.254;-1.045;3.779;-135.559;-36.255;18.433
0;-0.63;-0.818;1.504;2.258;-64.636;-54.565
0;0.46;0.782;1.739;59.448;-89.417;-28.259
0;-1.189;-0.184;0.754;176.636;-92.285;7.202
0;-0.404;-0.874;0.66;155.273;-17.151;9.583
0;0.12;-0.493;0.945;72.998;19.653;36.987
0;0.181;-0.296;0.707;88.989;-14.709;26.794
0;0.034;-0.241;0.543;96.741;-58.777;4.944
0;-0.1;-0.118;0.469;85.938;-79.285;-5.493
0;-0.143;-0.197;0.285;70.923;-64.392;-11.536
0;-0.168;-0.304;0.111;55.603;-49.988;-18.433
0;-0.234;-0.303;0.192;40.527;-51.758;-20.325
0;-0.253;-0.256;0.436;29.358;-37.842;-20.508
0;-0.33;-0.34;0.353;28.931;-4.395;-23.376
0;-0.374;-0.367;0.427;20.142;8.911;-20.63
0;-0.394;-0.378;0.534;8.118;15.381;-14.893
0;-0.388;-0.368;0.623;-3.662;16.174;-7.568
0;-0.391;-0.349;0.728;-13.489;12.146;-2.563
0;-0.409;-0.348;0.819;-19.47;3.662;-0.916
0;-0.408;-0.367;0.912;-21.301;-3.54;3.235
0;-0.367;-0.446;0.934;-17.7;-6.104;9.155
0;-0.321;-0.515;0.96;-13.794;-4.028;11.78
0;-0.294;-0.542;0.99;-13.489;-1.404;12.512
0;-0.284;-0.542;1.03;-14.282;0.61;13.55
0;-0.271;-0.525;1.054;-11.719;3.052;14.587
0;-0.253;-0.525;1.056;-7.324;5.005;14.404
0;-0.235;-0.523;1.05;-5.005;4.578;14.099
0;-0.222;-0.515;1.041;-2.319;1.404;12.878
0;-0.216;-0.492;1.016;0.244;-1.953;9.949
0;-0.24;-0.496;0.997;1.648;-5.615;6.775
0;-0.18;-0.527;0.967;2.075;-9.399;3.967
0;-0.149;-0.491;0.896;1.892;-14.221;5.615
0;-0.147;-0.49;0.898;1.038;-17.639;3.601
0;-0.158;-0.482;0.885;0.061;-15.686;0.549
0;-0.168;-0.463;0.859;-0.244;-13;0.61
0;-0.168;-0.454;0.887;-0.305;-12.146;0.244
0;-0.181;-0.454;0.879;0.061;-6.47;-0.854
0;-0.196;-0.454;0.866;2.136;-4.822;-2.563
0;-0.222;-0.439;0.851;4.883;-4.395;-5.188
0;-0.254;-0.43;0.813;6.531;-4.272;-7.507
0;-0.276;-0.411;0.807;6.409;-5.127;-8.85
0;-0.312;-0.4;0.787;4.883;-5.92;-9.338
0;-0.334;-0.404;0.774;2.991;-5.676;-8.057
0;-0.363;-0.395;0.776;2.38;-4.089;-5.066
0;-0.359;-0.378;0.773;2.075;-0.61;-0.427
0;-0.341;-0.389;0.786;0.671;3.113;4.211
0;-0.309;-0.426;0.797;-1.709;5.92;7.141
0;-0.283;-0.447;0.828;-3.906;7.324;8.789
0;-0.271;-0.456;0.847;-4.395;7.751;8.484
0;-0.267;-0.452;0.841;-3.784;7.019;7.08
0;-0.243;-0.459;0.827;-2.991;5.066;6.042
0;-0.237;-0.451;0.837;-2.319;2.319;4.089
0;-0.257;-0.43;0.848;-2.808;0.061;1.16
0;-0.288;-0.414;0.869;-2.93;-1.404;0.183
0;-0.291;-0.413;0.858;-2.197;-2.502;2.136
0;-0.284;-0.419;0.854;-2.197;-2.869;4.883
0;-0.278;-0.432;0.851;-3.662;-3.479;6.836
0;-0.256;-0.444;0.859;-4.578;-3.906;8.484
0;-0.248;-0.452;0.854;-3.967;-3.601;9.155
0;-0.237;-0.457;0.85;-2.563;-3.418;9.46
0;-0.225;-0.45;0.837;-1.892;-2.747;9.338
0;-0.224;-0.443;0.825;-2.563;-2.441;7.507
0;-0.219;-0.449;0.828;-2.869;-1.77;4.944
0;-0.217;-0.451;0.824;-2.197;-0.366;2.319
0;-0.222;-0.44;0.814;-1.831;0.549;0.244
0;-0.238;-0.427;0.814;-2.625;-0.122;-0.366
0;-0.243;-0.427;0.822;-4.028;-0.732;0.549
0;-0.252;-0.419;0.828;-5.371;-0.427;2.258
0;-0.244;-0.428;0.842;-6.836;0.305;3.967
0;-0.245;-0.444;0.859;-7.935;1.221;4.395
0;-0.251;-0.452;0.873;-7.935;1.77;4.456
0;-0.253;-0.446;0.887;-6.348;2.075;4.883
0;-0.249;-0.437;0.883;-4.395;2.502;5.127
0;-0.239;-0.424;0.87;-3.54;2.075;4.7
0;-0.238;-0.431;0.861;-4.333;0.244;3.418
0;-0.239;-0.43;0.862;-4.761;-1.465;2.258
0;-0.231;-0.433;0.843;-4.944;-1.648;1.953
0;-0.231;-0.431;0.848;-6.104;-1.343;1.831
0;-0.233;-0.427;0.852;-7.568;-1.16;2.014
0;-0.233;-0.429;0.861;-8.179;-1.038;2.563
0;-0.233;-0.434;0.868;-8.362;-1.221;2.563
0;-0.235;-0.432;0.874;-8.606;-1.404;2.441
0;-0.238;-0.428;0.884;-8.911;-1.648;1.77
0;-0.24;-0.431;0.907;-8.728;-4.272;0.488
0;-0.249;-0.421;0.88;-7.874;-4.883;0.122
0;-0.24;-0.44;0.895;-7.019;-5.676;-0.427
0;-0.247;-0.425;0.881;-5.31;-4.7;0.366
0;-0.246;-0.418;0.879;-3.601;-3.235;1.465
0;-0.238;-0.407;0.873;-3.601;-1.16;2.502
0;-0.259;-0.425;0.903;-3.723;-0.916;2.075
0;-0.276;-0.444;0.973;-2.869;-0.793;2.808
0;-0.253;-0.439;0.984;-1.953;-1.709;3.357
0;-0.243;-0.431;0.952;-1.465;-4.028;1.648
0;-0.239;-0.423;0.906;-0.183;-5.249;0.061
0;-0.228;-0.411;0.867;0.488;-3.967;-0.305
0;-0.228;-0.4;0.848;0;-2.502;-0.183
0;-0.228;-0.404;0.851;-0.732;-1.587;0.061
0;-0.224;-0.416;0.866;-1.282;-0.549;-0.061
0;-0.221;-0.416;0.876;-0.793;0.61;0
0;-0.231;-0.405;0.897;-0.427;1.038;-0.671
0;-0.242;-0.404;0.915;-0.061;0.488;-1.099
0;-0.249;-0.397;0.923;1.282;0.061;-0.732
0;-0.239;-0.401;0.892;2.808;-0.061;-0.549
0;-0.234;-0.421;0.847;3.113;0.061;-0.732
0;-0.233;-0.412;0.837;1.648;-1.038;-0.732
0;-0.245;-0.405;0.873;-0.671;-3.174;-0.61
0;-0.24;-0.408;0.881;-0.671;-2.869;-0.671
0;-0.239;-0.408;0.875;0.793;-1.221;-0.916
0;-0.089;-0.659;2.055;25.635;65.552;39.246
0;-0.073;-0.645;2.154;42.908;62.683;26.489
0;-0.021;-0.632;2.169;65.857;63.232;12.512
0;0.005;-0.605;2.14;90.637;62.744;3.479
0;0.022;-0.563;2.091;111.938;59.326;-0.122
0;0.032;-0.496;2.074;135.01;52.49;0.916
0;0.113;-0.463;2.005;155.701;50.964;3.906
0;0.173;-0.426;1.858;166.626;53.65;0.061
0;0.203;-0.401;1.722;169.8;49.5;-8.057
0;0.205;-0.404;1.622;172.424;34.119;-18.005
0;0.177;-0.328;1.475;178.467;19.836;-27.954
0;0.126;-0.183;1.401;190.308;14.771;-33.386
0;0.113;-0.114;1.352;199.097;16.541;-31.006
0;0.13;-0.103;1.248;198.059;23.682;-27.893
0;0.165;-0.172;1.206;195.74;26.855;-25.818
0;0.229;-0.261;1.139;192.81;27.771;-27.039
0;0.219;-0.227;1.02;191.956;26.489;-36.194
0;0.131;-0.142;1.09;195.74;18.25;-44.128
0;0.14;-0.125;1.087;195.801;13.916;-43.457
0;0.135;-0.14;0.949;199.768;15.503;-43.335
0;0.141;-0.236;0.824;213.013;9.705;-44.434
0;0.154;-0.225;0.6;221.863;5.493;-48.523
0;0.105;-0.192;0.431;222.595;1.892;-56.458
0;0.055;-0.182;0.363;216.919;-3.174;-58.96
0;-0.025;-0.162;0.318;207.397;-4.578;-58.044
0;-0.088;-0.225;0.242;205.017;-2.747;-56.58
0;-0.146;-0.249;0.224;205.75;-2.441;-54.871
0;-0.173;-0.262;0.091;208.923;1.953;-55.481
0;-0.193;-0.332;-0.017;205.139;3.662;-56.885
0;-0.22;-0.369;-0.056;198.242;4.517;-58.777
0;-0.267;-0.347;-0.167;196.655;11.963;-61.218
0;-0.349;-0.364;-0.259;194.458;18.372;-60.181
0;-0.354;-0.394;-0.292;183.044;19.775;-54.077
0;-0.362;-0.464;-0.389;169.495;20.081;-57.251
0;-0.412;-0.467;-0.438;163.208;16.724;-62.439
0;-0.464;-0.464;-0.371;154.358;5.981;-59.204
0;-0.506;-0.493;-0.419;149.719;-4.395;-55.42
0;-0.512;-0.506;-0.562;155.823;-12.634;-56.458
0;-0.547;-0.445;-0.703;157.471;-25.513;-55.603
0;-0.588;-0.453;-0.833;146.851;-46.57;-52.795
0;-0.592;-0.513;-0.981;136.78;-75.684;-51.208
0;-0.587;-0.596;-1.133;140.93;-96.008;-41.26
0;-0.757;-0.473;-1.339;141.235;-95.093;-19.104
0;-0.749;-0.463;-1.455;125.793;-86.548;1.038
0;-0.886;-0.433;-1.567;111.389;-78.064;21.423
0;-0.962;-0.342;-1.631;94.849;-69.824;36.987
0;-0.888;-0.44;-1.599;70.557;-63.782;33.63
0;-0.727;-0.555;-1.533;51.331;-50.72;27.283
0;-0.534;-0.655;-1.443;29.236;-26.489;25.33
0;-0.354;-0.678;-1.297;-1.709;-3.113;32.715
0;-0.252;-0.734;-1.067;-30.212;4.211;37.292
0;-0.193;-0.761;-0.826;-46.936;2.258;37.659
0;-0.137;-0.799;-0.712;-51.697;4.822;34.119
0;-0.095;-0.813;-0.68;-50.537;12.085;26.917
0;-0.103;-0.818;-0.671;-52.612;17.029;17.273
0;-0.138;-0.8;-0.664;-59.753;14.526;8.484
0;-0.203;-0.767;-0.651;-67.017;5.249;2.258
0;-0.272;-0.718;-0.652;-70.313;-5.493;-0.916
0;-0.329;-0.671;-0.727;-72.693;-17.883;-2.747
0;-0.376;-0.654;-0.823;-75.684;-33.997;-3.418
0;-0.407;-0.644;-0.869;-82.458;-53.528;-2.258
0;-0.419;-0.599;-0.856;-92.773;-67.993;-0.244
0;-0.413;-0.575;-0.849;-105.408;-70.068;1.648
0;-0.373;-0.579;-0.848;-119.69;-63.66;2.93
0;-0.338;-0.568;-0.794;-134.705;-53.833;3.357
0;-0.303;-0.544;-0.718;-148.01;-40.344;2.258
0;-0.292;-0.513;-0.628;-158.142;-23.56;-0.732
0;-0.292;-0.461;-0.526;-165.1;-7.202;-3.052
0;-0.359;-0.365;-0.377;-171.448;3.723;-4.456
0;-0.383;-0.37;-0.307;-177.795;9.827;-2.625
0;-0.358;-0.391;-0.242;-183.777;9.155;1.709
0;-0.332;-0.41;-0.167;-188.782;3.845;5.798
0;-0.273;-0.46;-0.165;-193.848;-0.305;6.042
0;-0.225;-0.447;-0.144;-200.5;-5.371;4.822
0;-0.153;-0.45;-0.138;-207.703;-9.155;1.099
0;-0.121;-0.396;-0.092;-214.478;-11.292;-6.531
0;-0.186;-0.195;0.035;-216.492;-11.047;-13.794
0;-0.237;-0.026;0.177;-214.233;-9.521;-15.686
0;-0.345;-0.009;0.248;-209.045;-8.728;-11.658
0;-0.409;0.141;0.374;-206.238;-10.254;6.714
0;-0.414;0.175;0.567;-220.398;-12.634;30.273
0;-0.307;0.06;0.668;-244.385;-14.221;51.331
0;-0.177;-0.052;0.788;-259.644;-12.878;61.707
0;-0.096;-0.164;1.059;-260.681;-13.245;61.768
0;-0.05;-0.105;1.267;-252.991;-0.977;53.04
0;-0.153;-0.127;1.614;-235.291;16.235;40.466
0;-0.095;-0.158;1.978;-219.36;31.25;36.438
0;0.02;-0.236;1.941;-213.928;47.852;31.067
0;0.125;-0.265;1.952;-197.327;44.495;19.104
0;0.055;-0.394;1.941;-171.204;30.09;9.033
0;0.098;-0.384;1.838;-152.1;15.015;5.31
0;0.072;-0.304;1.737;-136.78;1.526;4.822
0;0.035;-0.349;1.829;-126.526;-11.23;5.859
0;0.101;-0.48;1.903;-129.089;-8.301;4.761
0;0.009;-0.573;1.866;-128.113;10.376;-4.272
0;-0.067;-0.607;1.848;-117.432;23.987;-10.498
0;-0.132;-0.625;1.82;-104.492;24.902;-11.78
0;-0.174;-0.666;1.771;-87.952;21.851;-13.184
0;-0.197;-0.611;1.68;-68.726;23.743;-13.428
0;-0.017;-0.456;1.557;-51.331;31.616;-16.968
0;0.026;-0.35;0.991;-50.354;47.302;-36.316
0;-0.039;-0.699;1.052;-43.213;-8.484;-61.89
0;-0.199;-0.613;1.36;-57.678;-27.222;-43.701
0;-0.136;-0.5;1.434;-61.035;-20.752;-35.095
0;-0.083;-0.609;1.409;-63.843;5.676;-29.419
0;-0.134;-0.622;1.279;-62.683;17.578;-8.179
0;-0.029;-0.521;1.214;-60.913;16.785;13.245
0;0.06;-0.353;1.191;-55.481;7.629;22.339
0;0.043;-0.273;1.148;-41.321;-6.775;19.104
0;0.052;-0.37;1.124;-27.1;-16.785;4.395
0;-0.07;-0.369;0.94;-15.442;-16.663;-9.399
0;-0.189;-0.434;1.021;-5.127;-28.503;-15.503
0;-0.216;-0.377;1.002;-2.869;-21.484;-10.193
0;-0.228;-0.355;0.929;-2.991;-7.385;-8.789
0;-0.205;-0.381;0.859;-6.653;4.089;-6.348
0;-0.172;-0.386;0.775;-11.047;8.24;-2.869
0;-0.147;-0.412;0.761;-13.489;2.075;-1.892
0;-0.137;-0.43;0.783;-12.756;-8.728;-2.441
0;-0.145;-0.41;0.792;-10.254;-17.761;-2.869
0;-0.104;-0.368;2.025;79.773;65.918;18.738
0;-0.041;-0.389;2.058;91.37;69.214;19.104
0;0.058;-0.426;2.057;99.548;73.914;16.418
0;0.141;-0.46;1.949;111.694;77.332;9.338
0;0.165;-0.433;1.937;128.479;72.937;-1.221
0;0.169;-0.317;1.801;146.057;67.017;-12.939
0;0.128;-0.227;1.711;161.56;56.458;-22.095
0;0.14;-0.198;1.594;171.265;41.138;-26.794
0;0.151;-0.161;1.501;173.523;28.809;-31.006
0;0.134;-0.026;1.361;177.307;23.56;-35.461
0;0.105;0.048;1.326;185.12;17.822;-36.682
0;0.137;-0.085;1.28;185.791;8.179;-33.081
0;0.21;-0.266;1.196;174.927;-1.343;-31.372
0;0.249;-0.281;1.093;172.241;-10.071;-34.79
0;0.168;-0.188;1.187;184.143;-22.034;-39.734
0;0.103;-0.052;1.244;202.942;-24.414;-39.978
0;0.12;-0.129;1.169;215.576;-17.395;-37.659
0;0.19;-0.146;0.977;219.788;-7.324;-36.987
0;0.237;-0.199;0.906;220.337;-3.54;-40.039
0;0.24;-0.257;0.782;215.332;-2.502;-46.936
0;0.122;-0.199;0.712;216.309;-1.892;-55.359
0;0.1;-0.202;0.604;225.281;-1.343;-57.495
0;0.11;-0.243;0.422;218.628;-3.967;-60.547
0;0.012;-0.277;0.274;205.261;-11.597;-65.613
0;-0.073;-0.335;0.161;198.547;-20.569;-67.932
0;-0.161;-0.32;0.032;200.378;-27.832;-68.115
0;-0.257;-0.354;-0.157;208.435;-26.367;-70.435
0;-0.353;-0.423;-0.409;213.135;-23.01;-73.792
0;-0.437;-0.459;-0.67;211.792;-24.292;-71.106
0;-0.461;-0.482;-0.848;201.599;-32.41;-64.209
0;-0.521;-0.458;-0.934;180.847;-44.617;-54.565
0;-0.619;-0.507;-0.93;157.715;-56.03;-44.617
0;-0.576;-0.605;-0.896;142.029;-56.58;-36.072
0;-0.62;-0.557;-0.912;133.911;-45.715;-19.409
0;-0.884;-0.378;-0.916;124.512;-40.283;-0.793
0;-0.774;-0.482;-0.868;110.962;-41.748;-2.808
0;-0.701;-0.595;-0.681;93.201;-45.105;-5.371
0;-0.613;-0.673;-0.401;72.449;-37.964;1.892
0;-0.477;-0.816;-0.163;47.607;-22.095;7.263
0;-0.343;-0.915;0.085;28.625;-13.55;10.071
0;-0.249;-0.968;0.306;23.682;-15.747;9.644
0;-0.189;-0.98;0.32;35.583;-20.325;3.906
0;-0.114;-0.958;0.125;62.683;-21.912;-7.08
0;-0.098;-0.883;-0.139;89.417;-24.536;-23.926
0;-0.163;-0.86;-0.369;101.074;-35.034;-42.236
0;-0.26;-0.824;-0.599;100.83;-45.288;-54.81
0;-0.379;-0.715;-0.793;97.656;-51.086;-58.35
0;-0.456;-0.641;-1.001;91.98;-54.443;-54.932
0;-0.519;-0.678;-1.184;78.369;-59.692;-46.997
0;-0.57;-0.695;-1.22;58.35;-63.11;-35.278
0;-0.558;-0.674;-1.172;33.691;-54.382;-21.973
0;-0.472;-0.572;-1.155;9.216;-33.691;-9.827
0;-0.46;-0.507;-1.089;-8.85;-11.597;-3.357
0;-0.536;-0.645;-0.99;-24.109;7.69;-1.953
0;-0.486;-0.748;-0.844;-40.039;24.231;6.897
0;-0.394;-0.768;-0.676;-54.504;33.63;19.592
0;-0.324;-0.852;-0.622;-62.256;37.72;21.362
0;-0.299;-0.89;-0.564;-62.439;32.166;16.846
0;-0.297;-0.869;-0.528;-59.387;22.766;11.902
0;-0.288;-0.844;-0.58;-57.922;14.771;6.287
0;-0.308;-0.825;-0.643;-58.655;1.648;1.099
0;-0.358;-0.776;-0.654;-60.242;-14.099;-0.671
0;-0.379;-0.712;-0.712;-62.927;-22.278;1.892
0;-0.373;-0.656;-0.778;-69.458;-25.024;6.958
0;-0.349;-0.622;-0.799;-81.543;-27.954;13.062
0;-0.313;-0.608;-0.755;-98.755;-29.663;18.127
0;-0.258;-0.612;-0.731;-117.859;-24.475;18.921
0;-0.221;-0.569;-0.635;-134.216;-14.282;15.015
0;-0.211;-0.558;-0.557;-147.461;-2.197;8.85
0;-0.189;-0.562;-0.463;-159.119;7.935;2.625
0;-0.192;-0.525;-0.34;-168.457;18.921;-3.113
0;-0.215;-0.454;-0.236;-173.157;33.081;-9.766
0;-0.249;-0.408;-0.186;-176.025;44.067;-15.076
0;-0.321;-0.326;-0.066;-180.786;47.18;-16.968
0;-0.383;-0.298;0.01;-187.988;47.058;-15.137
0;-0.435;-0.295;0.019;-194.763;46.509;-10.01
0;-0.451;-0.3;0.082;-200.928;40.71;-1.953
0;-0.409;-0.368;0.153;-212.036;34.241;4.883
0;-0.376;-0.418;0.213;-222.412;27.771;7.874
0;-0.37;-0.504;0.239;-221.497;25.574;5.432
0;-0.37;-0.58;0.287;-213.135;30.884;-1.709
0;-0.367;-0.62;0.331;-210.327;46.082;-8.972
0;-0.198;-0.467;0.28;-215.393;71.228;-9.766
0;-0.198;-0.243;0.356;-221.985;85.327;-0.549
0;-0.185;0.131;0.596;-244.08;84.412;16.357
0;-0.332;0.806;0.732;-258.362;68.237;37.476
0;-0.531;1.274;0.976;-233.521;12.451;68.237
0;-0.555;0.704;1.507;-197.571;-60.059;75.073
0;-0.328;0.032;1.877;-172.546;-86.487;69.031
0;-0.266;-0.615;2.042;-192.566;-36.316;66.772
0;0.227;-0.581;1.664;-237;61.462;68.787
0;0.334;-0.566;1.644;-221.863;60.913;65.552
0;0.208;-0.753;2.018;-197.327;40.833;34.18
0;0.155;-0.808;1.945;-178.406;52.307;10.986
0;0.181;-0.782;1.834;-163.879;57.8;1.282
0;0.087;-0.555;1.747;-155.457;65.857;-0.916
0;-0.03;-0.154;1.703;-143.433;80.017;9.583
0;-0.083;0.07;1.753;-131.042;82.764;26.306
0;-0.011;0.211;1.775;-130.005;81.543;36.316
0;0.018;0.224;1.768;-127.258;79.773;37.781
0;0.167;-0.028;1.748;-111.45;75.928;27.832
0;0.381;-0.199;1.615;-85.876;71.655;13.794
0;0.358;-0.321;0.957;-66.406;66.406;-7.874
0;0.285;-0.671;1.116;-51.636;-15.686;-28.687
0;0.078;-0.395;1.308;-29.48;-73.425;-14.221
0;0.091;-0.374;1.346;-25.452;-87.891;-24.17
0;0.063;-0.412;1.079;-28.809;-69.092;-37.292
0;-0.062;-0.382;1.14;-30.029;-70.801;-37.476
0;-0.112;-0.193;1.039;-29.541;-72.021;-20.691
0;-0.167;-0.068;0.974;-24.048;-74.463;-4.7
0;-0.249;-0.149;1.02;-17.517;-86.304;4.822
0;-0.197;-0.203;1.187;-26.245;-86.548;14.465
0;-0.141;-0.22;1.452;-42.847;-62.988;11.414
0;-0.147;-0.314;1.589;-38.94;-25.696;-2.38
